name,link,type
fitforrun.png,https://www.samitivejhospitals.com/th/package/detail/fit-for-run,screening
fitforrununder35.png,https://www.samitivejhospitals.com/th/program/detail/fitness-for-run-checkup-for-35-years-and-under?package=9,screening
fitforrunover35.png,https://www.samitivejhospitals.com/th/program/detail/fitness-for-run-checkup-for-35-years-and-above?package=9,screening
getsummer.png,https://www.samitivejhospitals.com/th/package/detail/get-summer-get-fit-snh,screening
getsummer3hosp.png,https://www.samitivejhospitals.com/th/package/detail/get-summer-get-fit-main,screening
eldersafe.png,https://www.samitivejhospitals.com/th/package/detail/senior-care,check and care
elderdaycare.png,https://www.samitivejhospitals.com/th/package/detail/care-plus-svh,care
familyplan.png,https://www.samitivejhospitals.com/th/package/detail/pre-marital-screening-svh,screening
familyplanmen.png,https://www.samitivejhospitals.com/th/program/detail/Pre-marriage-Screening-for-Male,screening
familyplanwomen.png,https://www.samitivejhospitals.com/th/program/detail/Pre-marriage-Screening-Female,screening
PM25kid.png,https://www.samitivejhospitals.com/th/package/detail/FeNO,screening
ovum.png,https://www.samitivejhospitals.com/th/package/detail/ovum-pick-up,screening
colonoscope.png,https://www.samitivejhospitals.com/th/package/detail/colonoscopy-nbi-ai,screening and diagnosis
hometeeth.png,https://www.samitivejhospitals.com/th/package/detail/teeth-whitening-at-home-snh,care
microbe.png,https://www.samitivejhospitals.com/th/package/detail/gut-microbiome-program,screening
raregene.png,https://www.samitivejhospitals.com/th/package/detail/Whole-Exome-Sequencing-Rara-Disease-Day,screening
immune.png,https://www.samitivejhospitals.com/th/package/detail/immune-system-screening,screening
vaccine.png,https://www.samitivejhospitals.com/th/package/detail/vaccine-fast-track-samitivej-srinakarin,care
dengue.png,https://www.samitivejhospitals.com/th/package/detail/dengue-vaccine-for-children,care
premarital.png,https://www.samitivejhospitals.com/th/package/detail/Pre-marriage-Screening-snh,screening
premaritalmen.png,https://www.samitivejhospitals.com/th/program/detail/pre-marital-check-up-for-men?package=248,screening
